商品ID,商品标题,价格,价格单位,价格描述,卖家昵称,店铺名称,店铺标签,销量,地区,标签,商品属性,图片链接,商品链接
961660866986,POPMART泡泡玛特CRYBABY豹豹猫猫系列搪胶毛绒挂件盲盒,79,¥,,泡泡玛特旗舰店,泡泡玛特旗舰店,回头客20万,6万+人付款,江苏 苏州,"热销爆款, 退货宝",出售状态:现货 | 品牌:POP MART/泡泡玛特,http://g.search2.alicdn.com/img/i2/116045295/O1CN019f24QQ1ozAHiYfuyD_!!4611686018427385327-0-saturn_solar.jpg,http://click.simba.taobao.com/cc_im?p=%C5%DD%C5%DD%C2%EA%CC%D8&s=502180271&k=2457&e=ZbFT0LheAk0yPIZkmuhZB8aQH%2Fv6IjW1P%2BMTVGOHvvcGP2o%2FYQceDdx7ywSoBjaULMM7k2fwfzel0buz98kYlscXXEbuStC7DiyoUILO0nNLgvPCTsjrX2GY5CYJrKUIButKCWY9YWLp0%2Byb2DWz7og1I2Ehd9CvjbOJPvQJ6OIOADPBR%2BF4TIWS1x5LsUAoMF7qyfGVlRQU6dYEOzyw28GmJ1WzIy6UuE1rCS%2F0Oae7T37D85DJ3E%2BcZ3LdJ4OIo84n%2BnAazQABTcBwYdQETq1uC6YGTriUtu53Ir66CtL0WS8TnfgWxrZTDWUhE7Qzpvy%2BOLb2%2F6JO%2BGPQiV%2BX1Swbq9fLvwbzoNykLNhXP%2BdGpJS1NF0bsubkzU9DChPzeGdXvx3c6w3g%2F6D7RLqM4SVyfrBgwP%2FBrCoe7RFqTHUgwPiMi%2BpMl6hU1bMnnhjX4Iu9Qt1eo4f%2FejABRWeqEhE1vFzDvHHrTCkz3MNKB0hYxGYHsEVD%2BDDdm4bZvHxqB2RWW6MlBMKLILP7qd72iLVuiiZprB9F4%2BXn8WSrbzyNDMzYPnJT94BTVAR2TPldqheEdA7wqxaXnqtWEelEN9rLy0SAZqSllos9WEBtEDHtL8CTxG4rWXRRyLTj9hi5JhtWVFJlU2q3gmoMfSx%2BoSSzjBmxgP1%2BpZZA2EQKOr%2Fm7tlvlZAwYDQLSlhNr0OJn5AtZuBUPP9Z1ryKOVPVhRrZDIicAz6m2qPvkXSFejQRN7tT7MB6JzhIMmq0havfYFoA2f1WqZL9z5bhGHig4Go45gjNITv08DKr1b0PZxzma4hgi54%2FbMpm9koXrxswGLe8HYCKVOfbnR3vsiFU4KL9cb2S5SxJi5QBO1j%2FkPn0b8rcj6pqCnOAnhF4y5G6F3WcNqB8h3kFpdQiPZ1LEeCC%2FSwijCmpqIfahY9aYzMRpxqzoM%2F4PAYx3%2FSWcU%2Br%2FIDTpf5CqrFXWevSrtfrR9SE3wRCFWQ51PXYVU%2FH3NRZl5tU%2FbF7dgSxfXHfs52EKcVjMEvLMj8quLDhnlhARu9W8th4RLhE%2BaYRBfQXMRdt9FmtzLLLGGYCN3jueKgVgUsoZTMHnfaHp%2Bfz%2BZzHo%2FU16mSSqTAV4qWiTGiJpWaT7CrzWG0jIjlyuKTCpCsTxkBiWW4ODHG1ru9qQHLvJ5l0xq6RnTE13M6rIUPC9Om8vvW%2BrGJqkDRvZIwFvEiJLSFVBk0dF4WSfn5Ju0DB0TonN2cQyWLolG6OeQzKkRdIjexRcZpgLpRp6Ss6Pm9cMFEjbqkITi3Zi72aXweMVcFrAYkYtN6ytNOR4aBw3pwvVCOskHMxMlw5oEoWLObS4wWgfcrsM8i6cHjUWZ%2BZmKA2zozIQQ3KNDJ98VZ7iSFnGIAxQkxNeuDeQtuNql8YZAmvu%2F9hLhpkWgK5IKOykwiZm7iwO8PUCs2jxGOA4iINB2QFjYtZyLR1W0kuhtFYJhtWVFJlU2pwZfRWvKkxeMt6pjapoGtqY7ISga%2F4EERrrAvGrASYIaOCuuIx46sGGF4TxLo8NCgiwoHp2i%2BFoMQGhcHZi7LTOtOiZHcuCm1m2nZU03OKLLQm5ngw2qNXF7jVbbjJjANjduXCsW8UeNTGfEy9Jr%2B9D6WRdRTX3FpQyKwV084xjeWPCrWmG1uMXvtdrY2K7pw4SDJqtIWr352B4K9Pq35sOBo7puEOxC7TLuM8w12xizhIMmq0havf11HKeDvBG9eI9rWj9eOF32FgcR43gew%2Br6l4h8yNViC0vOyKkhg7998W8SKabDoz3Ptjg8n2L%2BVDJ6NtzxyClZ8BlR6dVn1W8r6bH8RXu56ELNll%2BN0IPTBtO4m7eF0FL9Ihjq0KrtKPo57z6iQv4o5lh%2F%2BCdgDjSfPUKRAvBXuJtrcUOUEm0XGXmvqYu6GW4hLTP%2BA73CTa1lorDTXylpVeaETKBaCL2DocJKt9IRwkGLLXLQLlP8Nx2DmUZplii14PmWCOZ67bRggHI6w4DY6K3VZw6mtclMdMIL9AYnWHfRqIhkxPBf8sOrJ3FBI%2FAgSqr%2BjT0HU7J08HvALQzCaF9vM6AsX7oFm8yCi8SfD9EOAKtDbGN%2BhaSfGBvdwrsN11%2Fn7ZymfFYeCq2L8e5goLyjovEyW00pgdOXdwCXviXXtQFQiGSSs2erP9i7SXfNwfKfJ%2FYiDFbpMvUtVHXQNJ1Q2ttSCmiqmrocCABUxbs9%2FfD4PIfr%2FqphSxlxkZkecyxmDoa4ACZNEKSB4hVmAdJrSpFWaQiaO2WxIP9FQoop2yBHI6RENKr%2BdzJ7w1skWSqCTzR7Y8A6aL%2BKtmojLCpGZmKKS%2BkyDD48Qr3Qdcte7X%2BluKP56D6e3Q9fxuvpybnMzR6RnuxslSv%2FiCgLHPhXRQEMWz26e7b0l9%2FgCI0coiO6qCZVGAZt2ibwR46c8OKmlc3S3ga%2FT3%2BhYMng%3D%3D&mm_sceneid=1_0_116045295_0&a=xxc%3Dad_ztc%26mi_id%3D0000OimV-1EZMC64GBbPN7hyvhFppK6P82GvD5F4tv36m3k%26skuId%3D6081574355537&id=961660866986
961973308388,POPMART泡泡玛特星星人 来自星星的礼物系列手办盲盒玩具礼物摆件,199,¥,券后价,大肥羊998,POP泡泡盲盒,回头客3万,8000+人付款,广东 梅州,"店铺满10减5, 48小时内发, 包邮, 公益宝贝",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://gw.alicdn.com/imgextra/O1CN01clOUd42643xbd8qfc_!!2663227607-0-picasso.jpg,//item.taobao.com/item.htm?id=961973308388&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000yXDkzjD2N65O6ifperFDwuMldQVjQEqgx09Pml_nVzw&skuId=5676981792247
909423134369,POPMART泡泡玛特星星人123！星星人系列手办盲盒玩具送人礼物摆件,62,¥,首单价,谭梓琳lin,欧巴手办盲盒,回头客8万,8000+人付款,广东 佛山,"直降3元, 店铺满500减5, 48小时内发, 包邮, 酷动城",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2580405343/O1CN018PhjuQ1pL9E8b7LC1_!!2580405343.png,//item.taobao.com/item.htm?id=909423134369&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000ZBzOLZM51rUpY1CO05Yqlj8M19e9_1mZEsJrYI2q99A&skuId=5924589997587
1012544999296,POPMART泡泡玛特星星人怦然星动系列手办盲盒玩具摆件情人节礼物,68,¥,券后价,谭梓琳lin,欧巴手办盲盒,回头客8万,2000+人付款,广东 佛山,"店铺满500减5, 包邮",款式类型:特别版 | 出售状态:全款预售 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2580405343/O1CN01oFy5kO1pL9IVgjCjS_!!2580405343.png,//item.taobao.com/item.htm?id=1012544999296&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000P7F5kKZt76xnc27JKzRb9Y-9k8G-YD2BujvgOsmC_N8&skuId=6183082163731
,,,,,,,,,,,,,
,,,,,,,,,,,,,
721069303525,POPMART泡泡玛特间谍过家家阿尼亚的日常系列潮玩手办盲盒礼摆件,54,¥,券后价,tb160998713,SP正版盲盒店,回头客10万,7000+人付款,浙江 台州,"店铺满39减5, 48小时内发, 包邮, 酷动城",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2208399554429/O1CN01lvhmgD1iaX9mV18Rt_!!2208399554429.jpg,//item.taobao.com/item.htm?id=721069303525&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000XSda6pJnmqGqc99fLTs6b_rqsTs-A3jBgca97YkDJXE&skuId=6030465280403
806195454318,POPMART Labubu Fall In Wild 春天野在家系列搪胶毛绒公仔手办,160,¥,,tb7445538986,SUN TOY,,4000+人付款,广东 广州,"店铺满199减3, 24小时内发, 包邮",出售状态:现货 | 系列类型:联名系列 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2211802957652/O1CN011BkaZj26Ofn1803Sk_!!4611686018427381588-0-item_pic.jpg,//item.taobao.com/item.htm?id=806195454318&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000IF9HeVtlrd3V-mbouL8kavHFqRMwKq1PpWNySMvjEBo&skuId=6024209583716
1014842124949,现货POPMART泡泡玛特星星人怦然心动系列手办盲盒玩具摆件礼物,59,¥,,从音时尚,UNIQUE尾巴潮玩,,1000+人付款,湖南 长沙,"店铺满199减3, 48小时内发",出售状态:现货 | 系列类型:联名系列 | 品牌:POP MART/泡泡玛特,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2253572444/O1CN01GOhelc1TvP6RGWAjz_!!2253572444.jpg,//item.taobao.com/item.htm?id=1014842124949&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000PtbCooyRqf3sS9FIGcsia6S9xtTe_16dJFJUjuWewcU&skuId=6030038208830
913007160760,POPMART泡泡玛特CRYBABY Vacation Mode On系列搪胶毛绒挂件盲盒,129,¥,,泡泡玛特旗舰店,泡泡玛特旗舰店,回头客20万,4万+人付款,江苏 苏州,"退货宝, 包邮",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2885348004/O1CN01u5UYu628ztE6rotpo_!!4611686018427382436-0-item_pic.jpg,//detail.tmall.com/item.htm?id=913007160760&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000mrSYU_Nio1gGFjL7rt35uTe0LiirFzJeg0Mnp-Qoon8&skuId=5954500485226
971567080530,POPMART泡泡玛特DIMOO新生日记系列搪胶毛绒挂件盲盒礼物,99,¥,,泡泡玛特旗舰店,泡泡玛特旗舰店,回头客20万,4万+人付款,江苏 苏州,"退货宝, 包邮",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2885348004/O1CN01BcXAoJ28ztE5kU5zy_!!4611686018427382436-0-item_pic.jpg,//detail.tmall.com/item.htm?id=971567080530&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000Uh7b5WCoNym1RMbgWIcotJ_Rz4fyh9Ve8vTxX6EQ60E&skuId=6124447419182
997099440616,2026新款泡泡玛特星星人系列陶瓷马克杯情侣水杯创意礼盒早餐杯子,245,¥,券后价,tb752588564181,淡水鱼手作,,100+人付款,浙江 金华,"官方立减12%, 包邮",材质:陶瓷 | 包装形式:礼盒装 | 主图案:卡通动漫 | 产地:中国大陆 | 把手设计:单耳把手 | 适用场景:办公家用 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2218196648267/O1CN01wVyEFb2AwLNSdL4FH_!!2218196648267.jpg,//item.taobao.com/item.htm?id=997099440616&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000Gmtnpzg2xOufI-6WO0v8cxi8iUWpCdSqzypcinAXpqc&skuId=5975611012725
