station_code,monitor_time,aqi,pm25,pm10,so2,no2,co,o3
5106A,2026-02-10 01:00:00,60,43.19,49.18,19.66,28.28,1.4,35.5
5107A,2026-02-10 01:00:00,62,29.26,39.06,29.12,25.55,0.67,116.53
1101A,2026-02-10 02:00:00,180,98.17,150.71,17.3,47.13,2.25,77.42
1102A,2026-02-10 02:00:00,68,50.75,56.87,26.93,38.1,1.86,108.7
1103A,2026-02-10 02:00:00,148,93.23,103.74,29.24,22.7,2.4,42.33
1104A,2026-02-10 02:00:00,94,60.93,70.6,5.21,20.91,1.46,38.4
1105A,2026-02-10 02:00:00,131,78.76,113.37,5.45,48.48,1.61,69.25
1106A,2026-02-10 02:00:00,57,31.6,41.28,24.62,30.75,2.31,35.35
1107A,2026-02-10 02:00:00,124,72.57,106.5,20.03,43.41,0.58,119.42
1108A,2026-02-10 02:00:00,88,52.21,74.97,17.97,17.93,2.11,98.95
1109A,2026-02-10 02:00:00,160,96.38,114.29,10.78,35.46,2.05,65.64
1201A,2026-02-10 02:00:00,48,28.64,53.34,22.05,27.15,1.85,89.96
1202A,2026-02-10 02:00:00,123,71.9,96.9,20.52,43.09,2.47,97.18
1203A,2026-02-10 02:00:00,117,65.28,83.4,14.15,17.23,2.34,65.43
1204A,2026-02-10 02:00:00,116,64.16,78.52,28.62,48.94,2.41,88.71
4401A,2026-02-10 02:00:00,113,63.35,95.95,15.86,42.96,0.85,34.85
4402A,2026-02-10 02:00:00,128,73.3,88.25,9.7,20.23,0.81,43.62
4403A,2026-02-10 02:00:00,144,93.97,101.73,28.68,38.13,2.28,58.59
4404A,2026-02-10 02:00:00,48,37.04,43.29,17.7,31.23,1.72,55.68
4405A,2026-02-10 02:00:00,118,71.93,104.71,29.33,19.52,2.41,62.06
4406A,2026-02-10 02:00:00,40,23.54,35.51,18.84,28.07,1.09,62.08
4407A,2026-02-10 02:00:00,38,25.08,33.25,10.98,36.61,1.0,108.09
4408A,2026-02-10 02:00:00,114,75.98,89.14,17.49,24.18,2.15,100.74
4409A,2026-02-10 02:00:00,110,61.93,95.21,6.14,22.48,1.76,26.11
4401B,2026-02-10 02:00:00,51,35.51,26.16,26.65,16.97,2.48,45.5
4402B,2026-02-10 02:00:00,101,59.83,89.51,10.03,37.79,1.54,44.54
4403B,2026-02-10 02:00:00,109,71.6,85.21,16.24,39.47,0.74,21.22
4404B,2026-02-10 02:00:00,141,84.74,109.3,21.79,47.54,0.7,51.11
4405B,2026-02-10 02:00:00,67,45.96,64.02,14.18,34.05,1.52,119.06
4406B,2026-02-10 02:00:00,32,19.91,38.68,13.13,34.0,0.88,55.17
5101A,2026-02-10 02:00:00,171,110.07,129.26,15.62,32.79,1.59,100.29
5102A,2026-02-10 02:00:00,57,34.89,31.5,29.79,22.46,0.53,55.47
5103A,2026-02-10 02:00:00,183,119.08,156.26,12.07,20.06,1.54,76.12
5104A,2026-02-10 02:00:00,145,95.51,116.94,12.51,41.92,2.0,70.28
5105A,2026-02-10 02:00:00,52,30.44,41.34,14.07,19.52,0.69,93.66
5106A,2026-02-10 02:00:00,96,63.51,87.97,5.79,38.01,1.24,65.39
5107A,2026-02-10 02:00:00,94,57.31,67.32,9.89,34.3,2.41,105.27
1101A,2026-02-10 03:00:00,60,26.1,37.26,15.13,22.08,0.75,26.44
1102A,2026-02-10 03:00:00,129,79.51,101.86,29.02,42.64,0.61,55.27
1103A,2026-02-10 03:00:00,40,27.4,30.18,26.25,47.38,2.46,79.11
1104A,2026-02-10 03:00:00,120,65.22,88.74,26.4,21.3,0.68,66.7
1105A,2026-02-10 03:00:00,133,72.59,111.11,12.59,24.15,1.21,82.34
1106A,2026-02-10 03:00:00,46,18.99,31.79,9.15,36.53,2.46,26.58
1107A,2026-02-10 03:00:00,48,29.99,36.37,6.15,49.13,1.17,67.42
1108A,2026-02-10 03:00:00,174,107.21,135.44,23.27,43.9,1.83,73.36
1109A,2026-02-10 03:00:00,101,59.35,91.41,7.2,43.34,2.38,113.07
1201A,2026-02-10 03:00:00,35,16.64,33.88,19.45,17.17,1.98,62.07
1202A,2026-02-10 03:00:00,66,36.89,51.37,21.33,19.94,1.32,53.07
1203A,2026-02-10 03:00:00,129,74.85,109.58,18.57,22.69,1.52,25.58
1204A,2026-02-10 03:00:00,82,42.38,73.89,8.68,20.3,1.17,74.53
4401A,2026-02-10 03:00:00,46,36.14,45.61,12.22,18.48,1.55,69.61
4402A,2026-02-10 03:00:00,159,86.21,133.06,19.98,48.43,1.72,32.32
4403A,2026-02-10 03:00:00,83,50.74,53.88,13.13,16.29,0.73,46.77
4404A,2026-02-10 03:00:00,69,46.17,43.06,8.3,35.74,2.24,113.0
4405A,2026-02-10 03:00:00,124,78.6,108.92,16.59,36.19,1.88,109.32
4406A,2026-02-10 03:00:00,99,61.99,85.8,27.73,22.0,1.5,105.09
4407A,2026-02-10 03:00:00,189,107.32,163.55,29.67,34.8,1.73,43.87
4408A,2026-02-10 03:00:00,131,82.56,115.51,11.17,29.57,1.43,46.84
4409A,2026-02-10 03:00:00,82,44.27,75.48,22.02,42.05,1.01,49.79
4401B,2026-02-10 03:00:00,180,114.97,146.0,5.22,17.85,1.34,72.76
4402B,2026-02-10 03:00:00,91,52.76,80.42,10.21,29.74,2.4,63.32
4403B,2026-02-10 03:00:00,183,104.49,146.23,29.6,18.79,1.35,48.0
4404B,2026-02-10 03:00:00,177,111.69,153.36,29.43,20.06,0.68,86.62
4405B,2026-02-10 03:00:00,46,33.85,32.22,18.51,31.24,2.42,74.6
4406B,2026-02-10 03:00:00,56,43.19,48.9,14.9,30.4,1.43,50.67
5101A,2026-02-10 03:00:00,159,97.44,121.12,13.21,25.2,1.01,53.42
5102A,2026-02-10 03:00:00,32,10.69,37.35,9.96,47.42,2.48,62.07
5103A,2026-02-10 03:00:00,178,107.03,139.29,14.6,16.6,1.61,117.95
5104A,2026-02-10 03:00:00,179,98.16,135.29,27.42,44.18,1.69,59.49
5105A,2026-02-10 03:00:00,60,35.8,52.03,5.62,44.51,1.1,68.77
5106A,2026-02-10 03:00:00,158,88.82,140.79,15.3,41.55,1.62,53.41
5107A,2026-02-10 03:00:00,174,100.97,143.41,19.34,40.48,1.35,67.48
1101A,2026-02-10 04:00:00,88,50.4,57.99,18.12,34.06,1.95,82.55
1102A,2026-02-10 04:00:00,162,90.22,116.91,15.27,29.33,1.53,51.33
1103A,2026-02-10 04:00:00,51,29.94,51.03,24.94,43.63,0.57,109.85
1104A,2026-02-10 04:00:00,155,86.82,132.7,15.37,27.36,2.19,69.15
1105A,2026-02-10 04:00:00,100,56.96,86.19,9.28,41.0,1.76,86.84
1106A,2026-02-10 04:00:00,57,43.39,36.98,10.55,45.61,2.39,119.74
1107A,2026-02-10 04:00:00,126,78.71,110.37,5.52,23.54,1.09,60.93
1108A,2026-02-10 04:00:00,36,15.05,27.27,13.17,41.74,1.77,80.57
1109A,2026-02-10 04:00:00,179,106.75,133.98,6.26,21.6,1.73,110.4
1201A,2026-02-10 04:00:00,138,88.14,100.48,20.47,22.8,2.43,102.66
1202A,2026-02-10 04:00:00,128,77.31,105.53,15.17,43.89,1.34,57.08
1203A,2026-02-10 04:00:00,194,106.87,160.31,28.96,42.32,1.87,51.46
1204A,2026-02-10 04:00:00,139,77.48,103.46,26.3,43.07,0.92,30.43
4401A,2026-02-10 04:00:00,96,56.94,73.12,28.76,36.58,1.72,94.05
4402A,2026-02-10 04:00:00,69,50.03,59.71,16.97,39.57,1.02,89.43
4403A,2026-02-10 04:00:00,58,34.2,41.18,13.6,47.4,0.59,74.59
4404A,2026-02-10 04:00:00,181,108.15,157.32,18.55,38.92,2.32,79.04
4405A,2026-02-10 04:00:00,157,85.66,112.6,7.37,39.41,1.97,34.55
4406A,2026-02-10 04:00:00,190,120.28,137.4,10.07,35.26,1.22,65.39
4407A,2026-02-10 04:00:00,104,69.22,77.03,19.01,25.49,0.84,52.16
4408A,2026-02-10 04:00:00,194,122.41,146.63,27.5,46.65,0.81,67.64
4409A,2026-02-10 04:00:00,157,95.92,138.06,9.58,30.62,1.35,96.16
4401B,2026-02-10 04:00:00,198,110.41,171.36,14.4,38.43,1.66,105.85
4402B,2026-02-10 04:00:00,168,92.48,141.23,17.6,18.78,1.37,58.13
4403B,2026-02-10 04:00:00,123,74.85,86.09,23.55,48.18,0.71,113.83
4404B,2026-02-10 04:00:00,173,101.22,132.57,10.79,37.37,0.73,68.35
4405B,2026-02-10 04:00:00,187,105.68,146.21,25.17,19.76,2.37,73.8
4406B,2026-02-10 04:00:00,72,51.04,60.9,21.99,15.9,0.58,73.42
5101A,2026-02-10 04:00:00,51,29.32,45.53,12.51,25.64,2.48,94.92
5102A,2026-02-10 04:00:00,79,55.5,48.25,12.5,40.57,2.24,58.89
5103A,2026-02-10 04:00:00,69,42.46,40.92,20.43,15.78,0.64,79.51
5104A,2026-02-10 04:00:00,70,42.49,47.23,21.29,21.97,0.52,114.83
5105A,2026-02-10 04:00:00,60,30.36,57.25,27.74,27.98,1.21,100.59
5106A,2026-02-10 04:00:00,72,49.35,67.14,28.86,23.09,0.89,84.29
5107A,2026-02-10 04:00:00,145,82.43,129.47,20.91,25.78,1.71,81.66
1101A,2026-02-10 05:00:00,129,80.3,118.12,5.29,35.71,1.58,83.33
1102A,2026-02-10 05:00:00,33,15.96,39.83,10.06,19.6,1.08,47.65
1103A,2026-02-10 05:00:00,164,95.35,129.67,27.09,45.67,2.21,30.35
1104A,2026-02-10 05:00:00,51,21.0,41.42,17.5,17.84,0.71,41.44
1105A,2026-02-10 05:00:00,185,104.28,149.11,21.81,31.54,1.21,65.61
1106A,2026-02-10 05:00:00,55,31.1,31.77,13.39,28.63,1.38,118.21
1107A,2026-02-10 05:00:00,55,36.57,43.67,17.04,19.07,2.42,106.98
1108A,2026-02-10 05:00:00,142,80.27,125.16,21.62,17.77,1.44,81.19
1109A,2026-02-10 05:00:00,145,95.67,121.63,21.11,20.16,0.97,27.55
1201A,2026-02-10 05:00:00,57,29.34,44.41,15.79,34.63,1.12,38.51
1202A,2026-02-10 05:00:00,46,31.28,34.18,21.96,35.86,2.43,95.27
1203A,2026-02-10 05:00:00,95,59.2,70.52,13.31,32.6,1.85,114.75
1204A,2026-02-10 05:00:00,176,107.55,141.9,22.91,19.65,1.86,82.43
4401A,2026-02-10 05:00:00,79,50.72,54.09,8.56,24.48,1.24,40.94
4402A,2026-02-10 05:00:00,112,65.44,82.18,9.89,37.12,2.23,42.89
4403A,2026-02-10 05:00:00,101,57.5,85.16,29.07,32.51,1.6,99.56
4404A,2026-02-10 05:00:00,142,89.67,101.7,26.54,18.23,2.37,70.9
4405A,2026-02-10 05:00:00,124,80.47,96.09,13.33,35.62,0.95,33.69
4406A,2026-02-10 05:00:00,168,105.87,142.01,24.87,36.26,2.09,87.33
4407A,2026-02-10 05:00:00,48,23.18,27.16,13.35,33.73,1.58,113.72
4408A,2026-02-10 05:00:00,159,96.57,121.3,8.17,27.83,1.78,65.85
4409A,2026-02-10 05:00:00,59,43.13,57.93,11.39,41.9,2.47,103.4
4401B,2026-02-10 05:00:00,38,28.36,18.83,15.06,19.59,1.64,21.68
4402B,2026-02-10 05:00:00,101,67.35,85.47,29.4,48.63,0.73,61.25
4403B,2026-02-10 05:00:00,148,95.82,112.58,20.48,26.68,2.04,60.89
4404B,2026-02-10 05:00:00,58,43.44,38.93,18.42,20.28,1.04,108.23
4405B,2026-02-10 05:00:00,97,54.11,89.58,15.58,21.71,0.8,106.82
4406B,2026-02-10 05:00:00,41,28.37,42.62,19.87,29.29,0.99,101.12
5101A,2026-02-10 05:00:00,95,47.57,67.26,29.98,30.45,2.04,93.85
5102A,2026-02-10 05:00:00,97,52.56,62.88,17.82,23.71,1.16,77.37
5103A,2026-02-10 05:00:00,96,67.44,80.48,19.27,25.74,2.46,52.61
5104A,2026-02-10 05:00:00,120,66.73,85.68,20.67,29.6,1.69,33.76
5105A,2026-02-10 05:00:00,174,111.55,143.67,28.96,33.59,1.93,35.84
5106A,2026-02-10 05:00:00,74,46.18,54.89,15.23,39.78,2.29,72.18
5107A,2026-02-10 05:00:00,166,100.65,141.99,7.33,39.83,1.26,59.95
1101A,2026-02-10 06:00:00,54,25.05,46.66,11.07,22.19,1.67,38.05
1102A,2026-02-10 06:00:00,188,115.91,149.87,29.08,37.24,0.56,77.91
1103A,2026-02-10 06:00:00,77,40.98,69.33,11.7,17.32,1.33,58.22
1104A,2026-02-10 06:00:00,155,85.16,126.97,5.3,15.49,2.48,57.7
1105A,2026-02-10 06:00:00,75,54.46,71.23,13.32,37.82,2.16,62.19
1106A,2026-02-10 06:00:00,120,71.48,91.98,26.76,23.54,1.08,81.89
1107A,2026-02-10 06:00:00,77,45.04,75.19,28.73,30.62,2.18,112.68
1108A,2026-02-10 06:00:00,108,73.01,97.57,23.11,20.52,1.65,30.67
1109A,2026-02-10 06:00:00,177,110.82,151.73,29.48,25.96,2.16,67.49
1201A,2026-02-10 06:00:00,77,39.63,59.8,25.17,20.75,1.67,39.18
1202A,2026-02-10 06:00:00,59,30.59,57.09,28.48,35.61,2.39,107.72
1203A,2026-02-10 06:00:00,105,61.99,76.07,5.97,18.41,2.45,117.32
1204A,2026-02-10 06:00:00,174,109.64,144.64,14.58,42.39,1.72,112.95
4401A,2026-02-10 06:00:00,106,57.37,80.0,22.55,40.24,2.17,47.0
4402A,2026-02-10 06:00:00,70,49.27,54.76,5.6,16.21,0.6,119.47
4403A,2026-02-10 06:00:00,121,73.65,107.24,12.1,49.52,1.39,66.62
4404A,2026-02-10 06:00:00,92,46.44,85.47,26.91,28.0,1.49,100.43
4405A,2026-02-10 06:00:00,146,97.17,113.1,19.8,27.66,0.51,113.91
4406A,2026-02-10 06:00:00,58,40.15,60.78,28.14,33.73,2.35,30.45
4407A,2026-02-10 06:00:00,48,20.79,52.85,19.03,16.3,1.3,47.67
4408A,2026-02-10 06:00:00,35,12.54,15.97,15.32,22.18,0.52,114.83
4409A,2026-02-10 06:00:00,173,113.76,153.08,6.63,20.73,1.78,90.5
4401B,2026-02-10 06:00:00,152,93.07,116.51,10.92,41.94,2.07,101.93
4402B,2026-02-10 06:00:00,92,48.07,79.37,29.04,22.0,1.13,66.09
4403B,2026-02-10 06:00:00,108,63.41,74.54,13.66,19.49,2.36,70.6
4404B,2026-02-10 06:00:00,98,65.32,78.97,23.38,28.01,1.01,44.08
4405B,2026-02-10 06:00:00,170,94.25,129.0,20.49,36.28,1.05,27.24
4406B,2026-02-10 06:00:00,195,113.51,149.1,28.2,24.86,2.07,28.24
5101A,2026-02-10 06:00:00,201,119.95,166.26,6.8,42.67,2.26,27.25
5102A,2026-02-10 06:00:00,125,66.47,108.8,26.74,29.52,2.25,45.72
5103A,2026-02-10 06:00:00,143,88.14,119.7,24.08,23.88,2.14,56.43
5104A,2026-02-10 06:00:00,142,82.5,127.28,14.39,30.83,1.94,100.98
5105A,2026-02-10 06:00:00,157,92.26,129.9,24.59,45.5,1.54,39.47
5106A,2026-02-10 06:00:00,205,132.13,177.72,10.36,43.98,2.12,100.4
5107A,2026-02-10 06:00:00,36,15.06,43.44,20.32,42.99,2.09,20.68
1101A,2026-02-10 07:00:00,189,116.02,146.08,9.34,41.64,1.24,90.25
1102A,2026-02-10 07:00:00,159,89.16,114.89,27.02,26.98,0.87,101.6
1103A,2026-02-10 07:00:00,85,48.57,55.07,24.13,25.04,1.12,66.43
1104A,2026-02-10 07:00:00,113,69.06,104.09,28.7,33.01,1.21,105.85
1105A,2026-02-10 07:00:00,139,83.66,123.88,10.76,35.46,2.45,36.01
1106A,2026-02-10 07:00:00,159,97.98,138.55,21.64,34.65,0.92,62.56
1107A,2026-02-10 07:00:00,180,108.77,132.87,9.54,38.31,2.24,81.36
1108A,2026-02-10 07:00:00,205,113.36,170.15,20.64,46.77,1.11,42.01
1109A,2026-02-10 07:00:00,90,61.59,83.39,21.26,29.84,1.95,101.56
1201A,2026-02-10 07:00:00,160,87.16,132.92,19.27,49.02,2.34,49.24
1202A,2026-02-10 07:00:00,211,119.86,170.71,28.67,48.58,1.07,25.93
1203A,2026-02-10 07:00:00,172,103.27,142.57,19.83,26.16,0.82,24.17
1204A,2026-02-10 07:00:00,99,56.39,82.78,29.86,24.68,2.37,48.78
4401A,2026-02-10 07:00:00,84,47.55,60.01,28.88,27.63,1.03,27.04
4402A,2026-02-10 07:00:00,35,25.35,18.28,26.77,27.78,2.38,65.12
4403A,2026-02-10 07:00:00,75,44.15,51.09,9.14,26.9,0.76,58.28
4404A,2026-02-10 07:00:00,183,114.84,158.94,21.3,48.12,2.21,73.96
4405A,2026-02-10 07:00:00,77,36.32,72.75,20.27,38.24,1.23,74.97
4406A,2026-02-10 07:00:00,128,77.91,97.96,16.73,15.88,0.79,49.04
4407A,2026-02-10 07:00:00,176,100.87,132.68,29.65,45.66,0.94,61.52
4408A,2026-02-10 07:00:00,58,33.97,54.72,20.2,37.92,2.4,54.51
4409A,2026-02-10 07:00:00,151,99.79,124.46,9.85,45.31,2.08,109.98
4401B,2026-02-10 07:00:00,91,52.64,70.65,5.76,33.19,1.29,61.05
4402B,2026-02-10 07:00:00,77,42.04,70.78,7.43,43.8,1.98,119.7
4403B,2026-02-10 07:00:00,160,95.04,139.79,12.63,49.36,1.35,78.09
4404B,2026-02-10 07:00:00,77,38.1,53.7,27.85,42.91,1.03,42.06
4405B,2026-02-10 07:00:00,196,114.74,155.18,13.2,27.18,1.53,103.53
4406B,2026-02-10 07:00:00,85,59.94,72.1,10.09,36.47,1.07,39.77
5101A,2026-02-10 07:00:00,136,74.68,98.56,12.93,16.0,2.39,108.53
5102A,2026-02-10 07:00:00,184,104.88,133.64,25.05,41.28,2.29,79.14
5103A,2026-02-10 07:00:00,189,115.15,161.18,19.45,25.66,1.11,114.24
5104A,2026-02-10 07:00:00,48,25.58,28.11,5.83,33.66,1.33,84.65
5105A,2026-02-10 07:00:00,171,111.57,130.98,14.99,32.34,2.38,76.77
5106A,2026-02-10 07:00:00,111,71.32,102.01,5.45,31.53,1.29,81.61
5107A,2026-02-10 07:00:00,144,88.11,119.7,20.09,30.83,1.53,74.55
1101A,2026-02-10 08:00:00,110,63.46,80.69,18.97,37.78,0.91,63.98
1102A,2026-02-10 08:00:00,60,30.33,59.77,29.48,22.86,1.13,44.07
1103A,2026-02-10 08:00:00,94,55.08,70.76,19.17,48.61,1.61,94.19
1104A,2026-02-10 08:00:00,153,93.94,123.78,21.96,26.44,0.86,28.88
1105A,2026-02-10 08:00:00,36,13.87,26.82,29.24,39.5,2.19,91.51
1106A,2026-02-10 08:00:00,69,33.91,50.7,17.17,30.29,2.47,35.37
1107A,2026-02-10 08:00:00,72,52.57,58.17,5.58,17.37,1.63,78.48
1108A,2026-02-10 08:00:00,146,94.07,122.68,22.74,37.54,1.89,85.4
1109A,2026-02-10 08:00:00,156,98.36,131.5,27.6,16.6,1.77,92.27
